L0,L1,L2,Graph
-0.5855527,-0.6128613,-0.47539616,3
0.33084595,0.31293428,-0.4658004,
-0.1473602,0.9631376,-0.060715556,
0.05352235,0.40295386,-0.51963663,
-0.48210347,0.9032675,0.32601488,
-0.84715176,0.64714515,0.2599913,
-0.04061389,-0.47364497,0.74298847,
0.2250787,-0.023046374,0.7497318,
0.28749144,0.46349525,-0.066345334,
-0.7710314,0.3561386,-0.304111,
0.6576582,-0.8635256,-0.86225986,
0.5829122,-0.8234439,-0.11127031,
-0.5612924,-0.6344615,-0.213503,
-0.65219533,-0.036738873,-0.58054805,
-0.40260756,0.23970318,0.15218723,
0.03018713,-0.21973288,-0.72766244,
0.0711509,-0.705143,-0.884549,
0.4701333,0.29281533,-0.9076594,
0.9135684,0.33811215,0.6934093,
-0.34250438,0.98868585,-0.5476048,
-0.10500693,-0.35803473,-0.513523,
0.45684123,0.6141783,0.5799042,
-0.82862103,-0.67180765,-0.052656054,
-0.24952316,0.4940846,0.4339713,
0.19577616,-0.65525997,0.52610373,
0.16719127,-0.6168722,-0.23065841,
0.05581796,0.5188993,-0.18501532,
0.93187475,0.54070425,-0.16588414,
-0.8680991,-0.2398696,-0.5838213,
-0.4760548,0.7750684,-0.37484717,
-0.70416,0.7750907,0.29302502,
0.16369462,0.089556456,-0.38912666,
-0.4548061,-0.8663242,0.775972,
0.42629516,-0.32272577,-0.32289517,
-0.35950172,-0.6153549,0.090536356,
0.34494853,0.53129065,-0.37234843,
-0.29731965,0.87602663,-0.9906111,
-0.40006495,0.08644438,-0.5804918,
-0.07021642,0.27262437,0.6948719,
-0.42240822,-0.2541734,0.050655127,
0.44738805,-0.35450816,0.28028572,
-0.14210784,0.3207667,0.5132096,
-0.11083305,-0.07526386,0.27318788,
-0.96551883,-0.98544693,-0.829824,
0.8438715,0.40303648,0.8432567,
-0.3744938,-0.14041905,-0.74346006,
-0.40676415,0.827356,1.0,
0.5670558,0.8787334,0.33412075,
0.57517755,0.5358777,0.99027896,
0.40885603,-0.58270264,0.02181077,
-0.63431525,-0.3414333,-0.4871577,
-0.36524236,-0.76783717,-0.8604617,
0.025239706,-0.431276,-0.7486074,
-0.85920477,0.72067285,-0.40694892,
-0.10806286,-0.90278316,0.33537817,
-0.8921945,-0.8390788,-0.44279802,
-0.66551024,0.19676602,0.78945255,
-0.96611476,0.0024781227,0.254153,
-0.39529395,-0.7515441,-0.71584237,
-0.6555898,-0.99665964,0.17630875,
0.84645,-0.72250175,0.14140022,
0.25299454,-0.21043527,-0.7198651,
-0.043997765,-0.78950393,0.63681054,
0.10475576,-0.7146214,0.7870748,
-0.3250425,-0.76018,0.6035875,
-0.83625376,0.40758085,-0.78115654,
-0.58814466,0.17100489,-0.62260664,
0.75420487,-0.19506383,0.6651628,
0.33663678,-0.33906257,,
0.2269454,-0.01701641,,
0.20496154,-0.21204937,,
0.23698962,0.6562489,,
-0.0018267632,-0.047573686,,
0.8362317,0.41834414,,
0.7685139,-0.31867254,,
0.5544957,0.6460774,,
-0.80797684,-0.53501153,,
0.14347363,0.15455258,,
0.9707364,0.13635707,,
-0.9723997,-0.5605016,,
0.06298971,-0.007553339,,
0.6694857,-0.8028692,,
-0.20047474,-0.21143615,,
-0.030239582,-0.90478563,,
0.5900183,0.7702817,,
-0.87137127,0.60017574,,
0.941746,-0.45894587,,
0.09549689,0.9730704,,
-0.49602437,-0.26178503,,
-0.63836753,-0.07904661,,
0.100028396,-0.59296596,,
0.8676454,0.61319685,,
0.071805,-0.9952402,,
-0.66615534,0.7365819,,
-0.8645197,-0.46581042,,
0.65759325,-0.6177206,,
0.3950218,0.40839553,,
0.3354435,0.9431571,,
-0.13199115,-0.33162045,,
0.9482591,0.8484819,,
-0.3329351,0.28624654,,
-0.22330296,0.43475497,,
0.16351843,0.5528399,,
0.523628,-0.6145712,,
0.39679897,-0.17905164,,
0.84204733,-0.6755465,,
0.75205433,0.13615417,,
0.6163126,-0.7821164,,
-0.96200156,-0.81921494,,
0.9715198,-0.90745914,,
-0.077892065,0.7842355,,
0.062194467,-0.7201538,,
0.026690483,0.79443896,,
-0.20136176,-0.06960678,,
-0.9008093,-0.8285905,,
-0.34371316,-0.95360863,,
0.83581936,0.8633286,,
0.62484133,0.6252867,,
-0.47693503,-0.7175045,,
-0.08461738,-1.0,,
0.382074,-0.87871206,,
0.18019795,-0.8338604,,
-0.6244377,-0.48303616,,
-0.5891179,0.1127975,,
0.6914123,-0.9307263,,
-0.42119026,-0.061461687,,
-0.72610676,-0.32055688,,
