L0,L1,L2,Graph
0.07261562,0.8580389,-0.55475277,3
0.89138234,0.4392159,-0.45724443,3
0.7017615,0.43813157,0.2626656,5
-0.0760026,-0.56766236,-0.15518767,6
1.0,-0.08181465,-0.21964729,6
0.71612287,-0.4342814,-0.34918082,6
1.0,-0.5222844,0.28472793,6
0.6068783,-0.8399663,-0.3054917,6
0.5988598,0.19561133,-0.44578093,6
0.18241593,-0.2514286,0.44042483,6
-0.9266076,-0.042874217,0.50621414,8
-0.07007778,0.60614526,0.33612692,8
0.189839,-0.20212442,-0.5421779,8
-0.2979358,0.69564354,0.80134654,10
-0.809077,-0.36108065,0.61414814,12
0.2858238,-0.6164403,0.71452016,19
0.11135486,-0.6745739,-0.46448797,23
-0.3667698,0.24086094,0.7639636,26
0.7304877,0.3867243,0.6716374,26
0.26359394,0.24999678,0.091253735,26
-0.34050906,-0.6401261,-0.57994366,26
-0.06651844,0.60630953,0.21680436,33
-0.37936035,0.58404076,-0.8852747,
-0.8954154,-1.0,-0.3273621,
-0.7123755,0.13860905,0.046659112,
-0.022018898,-0.5042323,0.9613292,
-0.23979,-0.87294424,0.6228929,
0.44817185,-0.42293215,-0.48496258,
-0.8669051,1.0,0.23893589,
0.5428252,-0.31142393,-0.82971525,
0.9099405,-0.08403343,-0.093652725,
0.002977088,-0.62475467,0.97798073,
0.58205855,-0.02789712,0.07550886,
0.46560192,0.10728297,0.70521307,
-0.47001553,-1.0,-0.15107895,
-0.3720754,-0.07890722,-0.1661108,
0.21952558,0.032584712,0.67900467,
0.17379393,-0.3569083,-0.28142065,
0.057902813,-1.0,-1.0,
0.29395032,-0.39188468,0.8658159,
-0.43735206,-0.2564126,0.83697176,
-0.13255292,-0.7709191,1.0,
0.9553964,-0.64983594,0.7301713,
0.4630415,-0.58877176,0.55674005,
0.44719696,-0.6672623,0.8914051,
-0.9094058,0.09125091,0.6337508,
-0.45297122,0.7829921,0.7715857,
-0.95912796,-0.004606411,-0.32321787,
0.3907388,-0.34853023,0.7130822,
0.07527161,-0.6037688,-0.14322639,
0.04368505,-0.8961307,0.84809506,
-0.42042828,0.6168059,0.05205846,
0.48114347,-0.48379326,0.9537851,
0.09612471,0.15638724,0.4764809,
0.43425938,-0.13130546,0.04740441,
-0.8204933,-0.19969934,-0.4683178,
-0.16102937,0.25502813,0.095243454,
0.015964493,0.08491877,-0.7346504,
-0.41176748,-0.029384494,1.0,
-0.12661153,0.60201144,0.051777273,
-0.0337739,0.022176504,0.9812344,
-0.38352847,-0.8773272,0.90184,
-0.13982733,0.27422893,0.808957,
0.35509405,0.83900106,0.49072474,
-0.2956493,0.6936586,0.82319045,
0.054533243,0.35256052,0.46151733,
0.6707791,-0.9297998,0.023261286,
-0.9300426,0.6334265,-0.6967209,
-0.041839737,-1.0,,
0.89412963,0.66076136,,
-0.032557905,0.7960963,,
-0.21722221,0.8180988,,
-0.3387251,-0.08922544,,
0.3355347,0.075420536,,
0.98566586,-0.16618007,,
-1.0,-0.8039547,,
0.69564956,-0.28351873,,
1.0,-0.5064808,,
0.35466468,-0.22422422,,
-0.18458438,5.683303E-4,,
-0.18437238,0.12320411,,
-0.71233404,0.40912998,,
-0.8782401,0.22379827,,
-0.8564658,-0.1593224,,
0.5305381,-0.011646345,,
0.49317437,0.96918666,,
0.96725535,0.47342128,,
-0.64301777,0.3822108,,
-0.6539109,0.24925792,,
-0.5296746,-0.78659844,,
-0.1113265,0.6838886,,
0.012555957,-0.21666336,,
0.52475643,-0.59450525,,
-0.6473136,0.6996541,,
-0.055670857,-0.111153625,,
-0.5653053,-0.8888725,,
-0.5819077,0.17191394,,
0.09155689,-0.56681347,,
0.4882444,-0.85285854,,
-0.030163765,0.9334829,,
-0.5838276,-0.4749626,,
-0.24486545,0.3712964,,
-0.5147475,0.101091504,,
-0.6366564,0.37006932,,
1.0,-0.0052996064,,
-0.27949458,-0.8025707,,
-0.64652026,-0.7882407,,
0.96217513,0.3420704,,
-0.74446046,-0.2352351,,
-0.815935,0.5170208,,
-0.64098626,0.20480661,,
-0.18712375,-0.54318476,,
0.7365718,-0.079384655,,
-0.72608054,-0.2249999,,
0.065219514,-0.18487307,,
-0.7754303,-0.62116206,,
-0.1918083,-0.6298348,,
0.7375673,-0.80708575,,
0.17694293,-0.02538836,,
0.9181383,0.092695355,,
0.68256676,0.8978699,,
0.41220292,-0.67240953,,
0.5313339,-0.89239043,,
0.7070226,0.46333712,,
-0.23277855,-0.5224417,,
-0.06934154,0.33438027,,
0.009024739,-0.55647767,,
-0.4749323,0.13090181,,
0.058536425,-0.21425526,,
0.056647826,-0.5086467,,
0.9979844,-0.7072904,,
-0.5386573,-0.14024717,,
-1.0,0.48892212,,
-0.3420514,-0.09589507,,
-0.17682683,-0.8746181,,
-0.709694,0.23563111,,
-1.0,0.6265344,,
-0.39197746,-0.47184062,,
