L0,L1,L2,Graph
0.8510835,-0.063129544,-0.82256615,3
-0.014184713,0.012792945,-0.7667711,
-0.8426434,0.6047342,0.14350164,
-0.92530215,0.59072196,0.7247567,
-0.9501598,-0.688221,-0.96998894,
-0.23701882,-0.617391,-0.73058987,
0.18149376,-0.398704,0.041373968,
0.43830252,-0.49810708,-0.3690127,
-0.8009398,0.28976285,0.3933947,
0.8530017,0.4297763,-0.9071113,
-0.12927747,0.17582071,-0.57906365,
0.94131005,-0.5860013,-0.61850023,
-0.045239925,-0.8718573,-0.7208662,
-0.59865665,-0.35012126,-0.8277854,
-0.3343091,0.39313257,0.6605419,
0.98907363,-0.5913776,0.72582924,
0.6120367,-0.9460399,-0.48090696,
-0.636086,-0.056087375,0.10479808,
0.051519036,0.1795286,0.63701797,
-0.083859086,0.13972509,0.12797105,
0.25915074,-0.51088035,-0.11439955,
-0.38432765,-0.8627099,-0.3500116,
-0.44040728,-0.46114612,-0.82906795,
-0.12108517,-0.8215841,-0.5272075,
-0.47748077,-0.6261649,-0.5027952,
0.06022036,0.7111325,-0.7713262,
-0.51770794,-0.42224503,-0.7687751,
-0.4437759,0.2951045,-0.2982124,
-0.27933228,0.8660555,-0.18202245,
-0.49487305,-0.6558739,0.18082905,
-0.5988828,-0.5287976,0.72847426,
0.71148,0.08113241,0.14059603,
-0.84046483,0.048829675,0.77064705,
0.35240698,0.8515065,-0.4305899,
-0.6424669,0.524248,0.7712294,
-0.66943467,-0.898159,0.72001135,
0.7106204,-0.45932806,-0.2526474,
-0.69638896,0.09419012,-0.6218872,
0.73606586,-0.33491683,0.87923527,
0.8849976,0.68314207,-0.42380166,
0.9770745,0.5794949,0.44443572,
0.6088227,0.8551569,0.3851123,
-0.04386258,0.75339174,0.633332,
-0.7021891,0.6065711,0.32924604,
-0.81301856,-0.40868998,-0.13025415,
0.7442169,0.5125884,0.48575723,
-0.9355339,0.8318646,-0.98322964,
0.20882893,-0.652627,-1.0,
-0.4699793,0.0052862167,0.41536224,
-0.33935142,0.58195245,-0.32701075,
-0.12852871,0.10045445,0.02896154,
0.22665417,-0.7585411,0.024430156,
0.7019522,-0.7692548,0.43217325,
0.31423438,0.38538814,-0.084117055,
0.8771473,0.07163525,0.6113908,
0.8780769,-0.92012215,0.76660275,
0.8257072,-0.26652026,-0.024894238,
-0.4915005,-0.19915342,-0.19389725,
-0.21529031,0.5959896,-0.2705164,
0.064309955,0.5366938,0.95952344,
0.21929133,0.25906312,0.06520796,
0.11709559,-0.6588235,0.6024598,
-0.28940833,-0.33748972,-0.27725768,
-0.06869495,-0.15737188,-0.9138702,
0.37650287,0.7263137,-0.2935742,
-0.48168337,-0.15832424,-0.24043536,
-0.5200118,0.9149674,0.29387116,
-0.63652706,0.53671,0.13958848,
-0.62987113,0.8736011,,
-0.90917206,-0.5482503,,
-0.23276019,0.42869747,,
-0.19724405,0.60061073,,
-0.8114053,-0.63361514,,
0.45866108,0.5800732,,
0.82530856,-0.3883946,,
0.045749784,0.36452532,,
0.44200516,0.36897373,,
-0.07170868,-0.43013442,,
-0.41992843,0.1856755,,
0.12928665,0.971051,,
-0.2555982,0.1130662,,
0.35847485,-0.93900275,,
-0.21897256,-0.4662403,,
-0.2903676,-0.5771132,,
0.87439024,-0.636279,,
0.20267808,-0.9948071,,
-0.5555773,0.629977,,
0.5835662,0.92151344,,
-0.3291794,0.6497456,,
-0.64617324,0.21571803,,
-0.77059996,0.08612621,,
-0.41633868,-0.9752127,,
-0.67504907,-0.8938731,,
-0.07754099,-0.014703274,,
0.89664185,0.22271025,,
0.17890918,0.6883805,,
0.23276627,0.34329736,,
-0.5558851,-0.6657262,,
0.7315055,0.5993923,,
0.1805036,-0.17604876,,
0.47435355,0.1402781,,
0.023159146,0.75670266,,
0.38832724,0.11009216,,
-0.7725533,0.48557627,,
0.051242232,0.34080255,,
-0.60735023,0.48209321,,
0.8684113,0.962873,,
0.7252476,0.56255436,,
0.6534033,0.15444398,,
-0.8509474,0.15178132,,
0.4865297,0.9309093,,
-0.06783545,0.62950706,,
-0.48256814,-0.6742073,,
0.8834944,-0.6183522,,
0.86103606,0.89105153,,
0.51129746,-0.7063314,,
0.10483563,-0.8126241,,
-0.51393175,-0.019595504,,
0.42444324,0.47995853,,
0.4546666,0.67598045,,
0.25907838,0.46606326,,
-0.5141058,-0.32065475,,
-0.24857402,0.71983814,,
0.4798255,0.98552036,,
0.23309469,-0.46585965,,
0.37789965,-0.1574519,,
-0.366251,-0.3718319,,
-0.7756506,-0.5817653,,
0.7126777,0.40736377,,
0.9795791,0.97771335,,
-0.9092437,0.4662521,,
-0.21748623,0.5699253,,
-0.45105624,-0.32838488,,
0.99051857,0.48400998,,
-0.9910817,0.64423,,
-0.7589978,0.070243716,,
-0.6352215,0.30204034,,
0.15867352,0.16076851,,
-0.120091796,0.035618663,,
0.2853496,0.52165973,,
0.18177485,0.314793,,
0.38599193,-0.9991404,,
-0.9145808,0.1192255,,
0.17167461,-0.13969779,,
-0.45205057,-0.30345213,,
-0.64109325,-0.20758498,,
0.6963191,-0.07673252,,
-0.45527864,0.917917,,
-0.18900585,0.3185537,,
-0.97529423,-0.9440532,,
0.05791378,0.06485808,,
-0.8460182,0.04221201,,
-0.18826294,-0.23910356,,
-0.3577355,-0.7809635,,
-0.82754886,0.5331087,,
0.692832,0.7900981,,
-0.3411199,0.55558157,,
-0.0641948,-0.47663307,,
-0.3788271,-0.5624454,,
-0.60815215,-0.05227244,,
-0.16379416,-0.23247087,,
0.8251796,-0.9105096,,
0.45411193,-0.67665017,,
0.23303533,0.48750377,,
-0.20917678,-0.87038076,,
0.57885814,-0.040513635,,
0.98557734,0.3348317,,
0.86600995,-0.38875628,,
-0.38458502,-0.5924417,,
-0.6491909,-0.022659183,,
0.042253613,0.39001358,,
0.7764697,0.8930018,,
0.3848759,-0.675735,,
-0.2345413,0.7325878,,
-0.89928913,0.41696763,,
-0.21955681,0.64853454,,
-0.9280898,-0.14002633,,
-0.617097,0.22776902,,
0.5097662,0.8118025,,
-0.42515194,-0.77391636,,
-0.13894832,0.5410392,,
-0.082315564,0.54418015,,
0.114697576,-0.27383924,,
0.7271843,-0.07860124,,
-0.24356937,0.83486426,,
0.7047547,0.79649496,,
-0.014827609,0.10524702,,
0.2772931,0.9363016,,
-0.19816566,0.14645493,,
-0.58897114,0.8122475,,
-0.5964298,0.006993532,,
-0.024131417,0.27342808,,
-0.39495826,-0.51387036,,
0.37637925,0.41063988,,
-0.99198055,-0.5230315,,
0.30288303,-0.97984684,,
0.4488666,0.62635016,,
0.7826309,-0.45508087,,
-0.87589884,-0.12383509,,
-0.21938252,-0.7665558,,
0.49418366,-0.37669456,,
-0.36942232,0.6030948,,
-0.6138407,0.21027446,,
0.98814666,-0.012938142,,
-0.7731894,-0.26324952,,
0.18132782,-1.0,,
-0.8248333,-0.6261641,,
0.14574456,0.96992314,,
-0.54175246,0.1681639,,
-0.9909325,0.2426771,,
0.022991657,0.73463833,,
0.49882805,0.54548836,,
0.22388148,0.6350627,,
-0.40573955,0.8416724,,
-0.30314445,0.89309585,,
0.10307598,-0.99422836,,
0.82757306,0.66620517,,
-0.97059524,-0.071648836,,
0.33314335,-0.85875916,,
0.38781607,-0.45479155,,
0.84957755,-0.20873868,,
0.105461836,-0.8924366,,
0.7931739,0.41723132,,
-0.7724929,-0.9844707,,
-0.88723266,0.015982151,,
-0.54925454,0.5216577,,
-0.17206001,-0.19887412,,
-0.36378443,-0.546883,,
0.9936384,0.4673233,,
-0.27493334,0.114417434,,
0.033340216,-0.9827734,,
-0.1462506,0.2928648,,
-0.17062783,0.97434914,,
-0.9189906,-0.52562386,,
0.7274232,-0.27566648,,
-0.9678874,0.06605208,,
-0.07371378,-0.12332809,,
-0.82652164,0.05164981,,
0.46830165,-0.870854,,
-0.7439543,-0.79460824,,
-0.6093755,0.45134568,,
0.19141352,0.23523772,,
-0.9564469,0.71741486,,
-0.17833483,0.9422817,,
0.90831447,0.5875741,,
-0.5869653,0.42472994,,
-0.6067518,0.34396613,,
0.9139619,-0.5217341,,
-0.9191756,-0.7114228,,
0.40732968,0.12119913,,
0.47962904,-0.3557526,,
-0.29027152,0.22483599,,
-0.9793916,-0.5299779,,
-0.30958128,0.6096741,,
0.8935367,-0.27925086,,
0.91119146,-0.705673,,
-0.18091357,0.7392967,,
-0.102125764,0.8621776,,
0.7038485,0.717911,,
0.49230385,-0.76765823,,
0.07619405,-0.57936144,,
0.3862611,0.80500245,,
-0.6694186,-0.4644307,,
-0.49936223,-0.36727643,,
-0.06698024,-0.9733016,,
0.69352126,-0.7357633,,
-0.9196795,-0.6896213,,
0.87067485,-0.52534926,,
-0.35607016,0.6037059,,
-0.9359151,-0.9473946,,
0.35590732,-0.50224924,,
0.91786456,0.25428247,,
-0.5158559,,,
-0.11423377,,,
0.77873397,,,
-0.672824,,,
-0.80852866,,,
0.76894724,,,
0.78570056,,,
0.6363362,,,
-0.17838216,,,
-0.6723777,,,
0.33427835,,,
-0.6648843,,,
-0.85384786,,,
0.8468354,,,
0.7248355,,,
0.431697,,,
-0.011882305,,,
0.092127085,,,
0.19229758,,,
0.63045347,,,
0.27594352,,,
0.33907568,,,
0.6984943,,,
-0.1413362,,,
0.36147642,,,
0.9876071,,,
0.54755735,,,
-0.20959067,,,
-0.79133224,,,
0.35172176,,,
-0.7688619,,,
0.04294026,,,
0.48794997,,,
0.27150452,,,
-0.124112844,,,
0.944262,,,
-0.8638419,,,
0.7080848,,,
0.3067286,,,
0.051881075,,,
0.4477508,,,
-0.12886035,,,
0.95635855,,,
-0.9158292,,,
0.7910714,,,
-0.33672118,,,
-0.54926026,,,
-0.46852756,,,
-0.70924866,,,
-0.6918198,,,
0.8950424,,,
0.14893281,,,
-0.3624221,,,
-0.507148,,,
-0.20636082,,,
-0.21648705,,,
0.09002483,,,
0.76333964,,,
-0.31321323,,,
-0.17883277,,,
0.8831674,,,
-0.6367202,,,
-0.59283936,,,
-0.9942839,,,
0.98315823,,,
0.42014825,,,
0.18934202,,,
0.8084942,,,
0.3973235,,,
0.050300002,,,
0.44882953,,,
0.028777122,,,
-0.79396296,,,
-0.3621261,,,
-0.9654468,,,
0.27185786,,,
0.91383934,,,
0.7917706,,,
-0.7931589,,,
0.7762244,,,
-0.44807482,,,
0.618266,,,
-0.5702472,,,
0.52464306,,,
-0.7309228,,,
0.7298583,,,
0.7772112,,,
-0.8002374,,,
-0.8630687,,,
0.74161446,,,
-0.78702986,,,
-0.8119205,,,
-0.97150695,,,
0.30423236,,,
-0.19531333,,,
-0.14641297,,,
-0.1696012,,,
-0.80641603,,,
0.58354867,,,
0.15128195,,,
-0.55587447,,,
-0.8376876,,,
-0.9873282,,,
0.9544846,,,
-0.09675443,,,
-0.21044266,,,
-0.34414506,,,
0.588315,,,
-0.11567402,,,
0.42658484,,,
-0.15489054,,,
-0.8705112,,,
-0.6133336,,,
-0.92977273,,,
0.24069,,,
-0.48833323,,,
-0.63205063,,,
-0.27555382,,,
0.83480513,,,
0.66474783,,,
-0.023433208,,,
0.9099456,,,
0.25765455,,,
0.39581335,,,
-0.6072334,,,
-0.6392008,,,
0.19608021,,,
1.0,,,
