L0,L1,L2,Graph
0.94580454,-0.5981408,0.17908311,5
-0.67889655,0.90301347,0.07518685,5
-0.21897638,0.44727725,-0.6388477,6
0.39555502,-0.78069127,-0.36868465,6
0.5050678,-0.5197058,-1.0,8
0.24556243,0.4533968,-0.04180541,8
0.07327068,-0.42950138,-0.09688507,9
0.53558075,0.81657887,-0.709137,9
0.26223934,-0.03277719,0.35139978,9
-0.5260409,-0.3057387,0.29780838,9
1.0,0.6116229,-0.5171931,11
0.98196435,0.18051246,-0.2732122,11
0.89341295,0.06288405,0.6193011,11
0.33785248,0.021275342,-0.3760587,11
0.42374265,-1.0,0.1766451,13
0.31245303,0.2753132,0.4984554,13
0.049368262,-0.89937687,0.4356195,13
-0.6224735,-1.0,-0.46961504,13
0.37805283,-0.15686627,0.8669049,13
-0.09870601,-0.98479855,-0.09639955,15
-0.73754907,0.41608703,-0.016275257,15
0.30783054,-0.6101072,-0.53361976,15
-0.65311706,0.5243082,-0.6771519,
0.23373032,-0.44239587,1.0,
-0.41855994,-1.0,0.1904378,
-0.3438003,0.63973635,0.5149494,
-1.0,0.32639384,0.8272432,
0.4702111,0.28390193,-0.54780746,
0.8564702,-0.17432019,-1.0,
0.37193656,0.36340868,0.6268746,
0.48522353,-0.09838116,-0.10019263,
-0.44851995,0.26026267,-0.21396208,
0.52958226,-0.17313606,0.6540785,
-0.07410255,-0.84633124,-0.63965833,
-0.38303304,0.50702834,0.59684706,
0.64332414,-0.57964826,-0.90167654,
0.15427572,-0.026691556,0.72284436,
-0.63884044,0.0068002343,-0.20191586,
-0.13969183,0.07259306,-0.41597217,
-0.20160222,0.5057473,-0.42816293,
-0.19293359,-1.0,-0.4436046,
-0.48717564,0.46779513,-0.67295694,
0.2591511,-0.9796841,-0.17708585,
0.6203985,-0.9342958,-0.8242992,
-0.14753883,0.8835577,0.82472897,
0.62812686,-0.45436996,-0.37641332,
-0.56702054,0.2745372,0.03323257,
-0.49914384,1.0,0.022728514,
-0.35731763,0.46724367,-0.1386292,
0.2786113,-0.19261487,-0.34827217,
0.30595982,-0.0690933,0.26848254,
0.80980086,-0.69094753,1.0,
0.13506502,-0.43097055,-0.5816074,
-0.41906095,-0.7945172,0.83761656,
-0.85245705,-0.7170222,-0.3850947,
-1.0,0.21871284,-0.7483343,
0.37352133,0.73514354,0.4033342,
0.4097824,-0.72281253,-0.4688623,
0.7323849,-0.25787187,0.81120276,
0.56756335,0.19447911,0.071888626,
0.6649581,-0.7507737,-0.62064755,
-0.3013252,0.8640245,-0.611008,
-0.96562296,-1.0,-0.42365652,
0.17358966,0.2611309,0.7654915,
0.5688013,0.73784363,-0.19596533,
-0.22402,-0.848688,0.5689006,
0.68042016,0.39455283,-1.0,
-0.9334613,0.050858695,0.640364,
1.0,0.49638617,,
0.67144656,-0.5292454,,
-0.39499575,-0.67201334,,
-0.49103713,0.38825476,,
0.81755924,-0.95559096,,
-0.07060957,0.74179775,,
0.6542632,0.9397702,,
-0.36085874,0.5308515,,
-0.9474527,0.002128601,,
0.48795557,-0.9091008,,
0.1476677,-0.66245055,,
-0.6287879,0.08261372,,
-0.88531244,-0.77119935,,
0.25218642,-0.51051575,,
-0.0040136576,0.9021903,,
0.2713157,-0.06339955,,
-0.599668,-0.9852536,,
-0.15249062,-0.69600105,,
-0.89003336,-0.47128952,,
0.50040925,0.10546363,,
-0.5988736,-0.76392317,,
0.73854834,-0.34822807,,
0.11634964,0.025773555,,
-0.5497047,-0.8325986,,
0.7281269,-0.88007903,,
-0.20842373,-0.99702084,,
0.63652873,-0.5784823,,
-0.5246418,0.7374122,,
-0.35023993,0.6891725,,
-0.7049277,0.62454456,,
0.08768201,0.08228767,,
0.44945732,0.34153637,,
0.43018904,-0.40307856,,
0.62699574,0.061448812,,
-0.056672662,-0.882164,,
-0.84553516,0.13307624,,
-0.15522662,0.45642602,,
0.44584826,-0.8715933,,
0.1648314,-0.7254668,,
0.08102119,0.4944146,,
0.3150105,1.0,,
1.0,-0.7386836,,
0.053198814,0.312621,,
0.6424602,-0.41398206,,
0.87317634,0.9126413,,
-0.024523616,0.55578744,,
1.0,0.09374785,,
0.34650505,-0.32374036,,
-0.41485816,-0.77090394,,
-0.35059512,-0.74920416,,
0.01989925,0.27203262,,
-0.4130168,-0.12801969,,
0.75742847,0.22103512,,
0.3211459,-0.14707373,,
-0.13288553,-0.36385357,,
-0.1944172,0.93435633,,
-0.5346838,-0.72253585,,
0.46497265,-0.639639,,
-0.17649715,0.33362985,,
-0.31102344,0.5138584,,
1.0,-0.46058965,,
-0.6170013,-0.8118111,,
-0.6676556,-0.3252415,,
0.24882174,-0.08627629,,
-0.6544266,0.35771286,,
1.0,-0.20153654,,
-0.14715694,0.22430916,,
-0.6476337,-0.98313594,,
-0.92953634,0.7007337,,
0.263741,-0.38383138,,
-0.8001596,0.6899674,,
-0.16886333,-0.6783434,,
0.57218665,-0.96410537,,
-0.40101826,0.86189055,,
-0.101302296,0.18396473,,
0.27479535,-0.5326603,,
0.96458745,-0.060920313,,
-0.25469124,0.13674152,,
0.3979637,-0.73042536,,
0.37095994,0.68337995,,
-0.84809506,0.39931026,,
-0.897902,1.0,,
-0.12870938,-0.23202437,,
0.2530681,-0.4615872,,
-1.0,-0.2850809,,
0.08228135,0.9932412,,
-0.34291738,-0.7846756,,
0.7200625,0.9779054,,
-0.23103796,-0.26893735,,
1.0,0.25150502,,
0.6519231,-0.5057434,,
0.9908657,0.5207618,,
0.65885836,0.28106272,,
-0.27124107,-0.45855936,,
-0.24054521,0.1991986,,
-0.86970246,1.0,,
-0.69415295,1.0,,
0.5170739,0.40144485,,
-0.8406656,0.1799258,,
0.03872487,-0.5666138,,
0.18420029,0.6118288,,
-0.4955171,0.6142279,,
-0.11364663,0.3170731,,
-0.26854074,0.5311135,,
-0.2764457,0.53933287,,
-0.5239975,3.8313866E-4,,
-0.8616443,0.897827,,
-0.30874836,-0.025060713,,
-0.28013417,-0.5873969,,
0.6289407,-0.069020584,,
0.96383166,0.5978768,,
0.35103682,0.5678767,,
-0.14065471,-0.54380435,,
0.87335575,-0.4323899,,
0.98945165,0.6633584,,
0.8555957,-0.36932164,,
0.4727112,0.28709418,,
1.0,0.6843817,,
-1.0,-0.104492545,,
-0.31359065,-0.36008444,,
1.0,-0.30969408,,
0.96449745,0.08828211,,
0.9727682,0.4647608,,
-0.34113935,0.93154705,,
-0.1816446,0.41659102,,
0.67245805,0.01593697,,
-0.11535339,0.857618,,
-0.5163729,0.1157459,,
-0.05921042,-0.47131172,,
-0.36340332,0.6936761,,
0.27882946,-0.61219144,,
0.60209817,-0.50248563,,
-0.9148959,-0.22505891,,
0.66221744,0.7120222,,
1.0,0.14074372,,
0.5472081,0.0219208,,
0.30474144,-0.40167916,,
0.5915747,-0.5581111,,
-0.36918056,-0.48173445,,
-0.47663987,-0.396842,,
-0.24192548,0.54460156,,
0.9461415,-0.059058905,,
0.6010758,0.3795252,,
0.14426494,0.53181714,,
-0.8941318,0.5977088,,
-0.14260334,-0.8717291,,
0.5665728,-0.73220515,,
-0.8613441,-0.31613967,,
-0.43307003,-0.4132568,,
-0.52690226,0.011930361,,
0.2373617,0.63978255,,
0.5270351,-0.0990808,,
-0.24340177,0.38439572,,
-0.04375744,0.6274193,,
0.020577192,-0.9103458,,
-0.5929457,0.15347557,,
0.6631832,-0.36491203,,
-0.9175252,0.68413603,,
-0.46879745,0.839937,,
0.3091724,-0.08688594,,
0.25630403,0.13327865,,
0.3349613,0.20315942,,
-0.541904,-0.86749136,,
-0.8294742,0.49762046,,
-0.06987381,0.28356567,,
-0.043495093,-0.50443006,,
-0.76259065,-0.98489857,,
0.27035794,0.062468886,,
0.26040447,-0.3060969,,
-0.6328081,-0.11429334,,
0.77049077,0.4075365,,
0.123902604,0.3754942,,
0.31986892,-0.81282794,,
-0.03915608,0.98626995,,
0.35196307,0.74602175,,
0.27490142,-0.9556774,,
0.56619114,0.45829892,,
-0.5864115,-0.43013287,,
-0.4710084,-0.2807876,,
0.3269242,-0.5574528,,
-0.18955779,-0.4990393,,
-0.8832813,-0.20498604,,
0.896003,0.84870285,,
-0.9351423,-0.41724896,,
-0.8987143,-0.40728295,,
0.20069587,-0.473014,,
0.7370134,0.8843714,,
-0.53179604,-0.12696895,,
-0.6717105,-0.23341349,,
0.7650322,-0.65885746,,
-0.91652775,-0.03822437,,
-0.8966471,-0.32456505,,
-1.0,-0.33627406,,
0.8089079,0.35815668,,
0.745722,0.024631336,,
-0.92720735,-0.55290884,,
-0.4651339,0.66380966,,
-0.52952784,0.6866864,,
-0.8614416,1.0,,
0.26373243,0.11097884,,
-1.0,0.3935235,,
0.35077402,0.48772073,,
-0.39767635,-0.6242798,,
-0.90147173,-0.9814667,,
0.20401931,,,
-1.0,,,
-0.48419845,,,
-0.022540927,,,
1.0,,,
0.5998143,,,
-1.0,,,
-0.1550476,,,
1.0,,,
0.12078972,,,
-9.198445E-4,,,
0.548594,,,
-0.0039669275,,,
0.23138702,,,
-0.41301525,,,
0.19240844,,,
1.0,,,
-0.5419377,,,
0.9827354,,,
-1.0,,,
-0.37780723,,,
-0.9658742,,,
-0.9448001,,,
0.19956462,,,
-0.60898656,,,
0.02263248,,,
-0.119965434,,,
0.38640344,,,
0.9150817,,,
0.9221523,,,
0.06875035,,,
0.94417894,,,
-0.97730625,,,
0.8720297,,,
0.6541856,,,
-0.13129798,,,
-0.6865133,,,
0.8016894,,,
-0.043826103,,,
0.61790085,,,
0.5149232,,,
-0.77725196,,,
0.63241434,,,
-0.03805548,,,
0.26896986,,,
-0.43128717,,,
0.11624706,,,
-0.8362864,,,
-0.74072266,,,
0.6785171,,,
-0.8415255,,,
-0.1950103,,,
-0.47372913,,,
-0.53265405,,,
0.2813,,,
0.6864077,,,
0.76249653,,,
0.9107218,,,
-0.11036436,,,
-0.18855831,,,
-0.6084908,,,
-0.7412212,,,
-0.350283,,,
0.6044178,,,
0.03599811,,,
1.0,,,
0.59536064,,,
-0.04199767,,,
-0.118335366,,,
-0.09257594,,,
-0.29855752,,,
1.0,,,
1.0,,,
-0.87827677,,,
-0.6188904,,,
-0.2776196,,,
0.7754916,,,
0.006535679,,,
-0.645612,,,
0.26740247,,,
0.99795485,,,
0.6468191,,,
-0.02153267,,,
0.11266318,,,
0.14574933,,,
-0.35304543,,,
0.52012765,,,
0.14838207,,,
-0.48464286,,,
0.8112267,,,
-0.6111395,,,
0.17358024,,,
0.77444214,,,
-0.5367472,,,
0.51509804,,,
0.6054746,,,
0.03854706,,,
0.2026391,,,
-0.6760607,,,
-0.4012406,,,
0.63122296,,,
0.8238447,,,
-0.34654173,,,
0.42031157,,,
-0.4537416,,,
0.21074459,,,
0.38650167,,,
-0.42507023,,,
0.35804856,,,
-0.10797167,,,
-0.028598059,,,
-0.76492834,,,
-0.17920588,,,
-0.022372998,,,
-0.84096074,,,
0.66910374,,,
0.52511466,,,
-1.0,,,
-0.27193904,,,
0.75650966,,,
-0.64616466,,,
-0.37723243,,,
-0.5265825,,,
-0.26767683,,,
-0.70150286,,,
0.72623855,,,
0.26054853,,,
0.49097335,,,
