L0,L1,L2,Graph
-0.3848911,0.83333635,-0.780757,3
1.0,0.4392159,-0.41856223,3
0.7017615,0.43813157,0.81650645,5
-0.03639955,-0.48516273,-0.15518767,6
0.803185,-0.0612915,-0.21964729,6
0.29499805,-0.6733012,-0.3884974,6
1.0,-0.5222844,0.035029322,6
0.41264006,-1.0,-0.3054917,6
0.69804436,0.31202897,-0.44578093,6
-0.02968824,0.044364735,0.44042483,6
-0.9266076,-0.042874217,0.45940933,8
-0.07007778,0.71817505,0.33612692,8
0.60401154,-0.20212442,-0.61006844,8
-0.0013425648,0.69564354,1.0,10
-0.809077,-0.36108065,0.61414814,12
0.29368508,-0.6164403,0.76457816,19
-0.049526334,-0.49055293,-0.46448797,23
-0.6908598,0.32830316,0.8432532,26
0.43097192,0.3867243,0.6716374,26
0.13560273,0.8380978,0.33793384,26
-0.061526,-0.6401261,-0.5338167,26
0.23185629,0.7702653,0.33608574,33
-0.34979033,0.58404076,-0.8852747,33
-0.8954154,-0.89713615,-0.7197671,37
-0.7123755,0.13860905,0.046659112,40
-0.09949003,-0.5042323,0.9613292,47
0.008382678,-0.7613438,0.53061926,54
0.4381799,-0.16724294,-0.24695,76
-1.0,0.75725824,0.23893589,76
0.77115417,-0.52214277,-0.82971525,76
1.0,-0.23082675,-0.29194105,
0.002977088,-0.62475467,0.97798073,
0.41125873,-0.02789712,0.25757858,
0.46560192,0.10728297,0.70521307,
-0.47001553,-1.0,-0.24350217,
-0.308815,-0.5159577,-0.35124522,
0.44712788,-0.10481298,0.67900467,
-0.003952384,-0.5814806,-0.44566795,
0.005998142,-1.0,-0.7262448,
0.29395032,-0.41628087,0.67324585,
-0.4065554,5.1270984E-4,0.83697176,
-0.13255292,-1.0,0.8375824,
0.3857203,-0.35937965,0.6500104,
1.0,-0.49116617,0.62958205,
0.44719696,-0.6578959,0.8914051,
-0.9094058,0.09125091,0.5751816,
-0.21170709,1.0,0.6961184,
-1.0,0.3334357,-0.3041152,
0.6056082,-0.3737924,0.7130822,
0.07527161,-0.6037688,0.21223468,
0.04368505,-0.7307762,0.84809506,
-0.50995964,0.9926326,0.18232773,
0.60064286,-0.54920876,0.9537851,
0.17319971,0.15638724,0.57271826,
0.5490168,0.09302083,0.04740441,
-0.90917623,0.32074675,-0.4683178,
-0.16102937,0.14398144,0.095243454,
-0.008569721,0.23688166,-0.7346504,
-0.41176748,0.1693338,1.0,
-0.3828869,0.60201144,0.08265404,
0.21528207,0.022176504,1.0,
-0.6390655,-0.8773272,0.7833494,
-0.07089966,0.27422893,0.6849332,
0.45249733,0.5162412,0.03441403,
-0.34876108,0.6936586,0.82319045,
0.035950024,0.2989456,0.46151733,
0.16598326,-0.9297998,-0.053207383,
-0.9300426,0.6334265,-0.5138656,
0.19460632,-0.8995846,,
0.8994168,0.66076136,,
-0.320742,0.7960963,,
-0.5961364,0.8845713,,
-0.19971344,-0.2738542,,
0.6063217,0.19082105,,
0.6339302,-0.15457392,,
-0.8201121,-0.70460343,,
0.48460576,-0.30422723,,
1.0,-0.5064808,,
0.360342,-0.5980604,,
0.21057743,-0.13792573,,
-0.58185637,-0.10663469,,
-0.71233404,0.2546761,,
-0.71390706,0.7413473,,
-0.8564658,-0.20256409,,
0.636767,-0.053116553,,
0.34888119,0.8806166,,
0.96725535,0.62436306,,
-0.8031285,0.085209444,,
-0.6328786,0.24925792,,
-0.16789392,-1.0,,
-0.1113265,0.39940906,,
0.012555957,-0.5035597,,
0.52475643,-0.2066791,,
-0.9247015,0.50087655,,
0.12134969,-0.018533826,,
-0.78037584,-0.8888725,,
-0.7274772,-0.35021868,,
