L0,L1,L2,Graph
0.06874123,0.89852583,-1.0,4
0.5610419,0.44846222,0.81280273,4
0.7619959,-0.97775114,-0.8691335,4
0.64273226,-0.7856944,0.3309809,4
0.6725688,0.04760064,-0.9175485,4
-0.37499213,-0.67036045,-0.53816116,4
-0.7467382,-0.72423476,-1.0,4
0.64963484,-0.41251135,0.010540247,4
-0.3947656,-0.7998077,-0.7528185,4
-0.68601465,0.8494979,-0.084315844,6
-0.15706043,0.24937391,0.6288673,6
-0.8808079,1.0,0.19658184,6
-1.0,-0.94396883,-0.18654847,6
-0.7655989,0.8836294,0.679126,6
-0.26412907,0.3670503,0.1334183,6
0.51168096,0.44719028,-0.58724797,8
-0.0048103333,-0.44501102,0.6338676,10
-0.86709785,0.35607767,-0.814106,15
0.5621258,-0.2929864,0.28765127,15
-0.07850611,-0.5657692,-0.70810163,
-0.26264367,0.5718427,-0.018578887,
-0.30471915,0.9915693,0.6538514,
0.75613827,-1.0,-0.025408685,
0.5207623,-0.81911755,0.1076041,
-0.38900933,-0.3762588,-0.5092495,
-0.5336696,-0.34991646,-0.44942677,
-0.9243419,0.64484763,0.10420132,
-0.9218439,0.49136156,0.066354215,
-0.24888985,0.9408251,0.5427659,
0.6673694,-0.5569018,0.21069527,
0.43214035,0.3319875,0.11832748,
0.3538097,0.22509813,0.21910536,
-0.11455965,-0.7089629,0.93643177,
-0.2471141,-0.06261563,-0.94714177,
0.46289885,-0.5288303,0.22195399,
0.73932576,0.18260431,-0.17751276,
0.9921857,0.5794993,-0.79855037,
-0.14992952,-0.7766819,-0.8626654,
0.47466648,0.3402766,-0.59270585,
-0.3691187,-0.8183367,-0.25651684,
0.108780265,1.0,-0.3385775,
-0.4308653,-0.86572635,-0.28800035,
-0.6722659,-0.36485314,0.27820468,
-0.1125063,0.5812285,0.5248194,
-0.3798382,0.8070066,0.18042362,
-0.67416096,0.7022481,0.048703853,
0.24044564,0.058736324,0.5192025,
0.019853814,-0.2182124,1.0,
0.303105,-0.6009638,-0.9296108,
0.23709893,0.29120344,-0.5246383,
